Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
City and County of San Francisco : Surety Bond Assistance Program,261,232,0:01:03,77,71.43,32.95,63,1.05
San Francisco 311 : Walking,261,180,0:01:17,43,74.42,31.8,77,1.28
San Francisco Ethics Commission: Annual Reports,261,195,0:00:19,27,33.33,14.56,19,0.32
Announcements & Flyers | Southeast Community Facility Commission,260,173,0:00:57,7,14.29,24.62,57,0.95
San Francisco Rent Board : Sec. 37.9D Foreclosure Evictions,260,235,0:04:11,209,85.17,81.15,251,4.18
ABOUT THE LOCAL BUSINESS ENTERPRISE PROGRAM | Human Rights Commission,259,109,0:00:28,23,34.78,14.29,28,0.47
Board of Supervisors : Legislative Analyst Report - Cash Assistance Programs (File No. 012179),259,226,0:03:40,221,86.43,83.01,220,3.67
Mayor's Office of Housing and Community Development : African American Out-Migration,259,209,0:02:56,153,82.35,61.78,176,2.93
Office of the Mayor : News Releases : Mayor Lee & Leader Pelosi Announce Increased Rental Housing Vouchers for Homeless Veterans Through U.S. Department of Housing & Urban Development,259,214,0:05:01,133,84.96,60.23,301,5.02
San Francisco Rent Board : 主題編號013 : 租務委員會費用,259,231,0:01:30,63,42.86,20.85,90,1.5
CCSF Office of Assessor-Recorder : Recorder Information,258,213,0:01:32,83,69.88,44.19,92,1.53
City and County of San Francisco : Statement of Incompatible Activities,258,236,0:00:20,10,80,15.89,20,0.33
Collaborations and Affiliations | Human Rights Commission,258,236,0:01:01,30,70,32.17,61,1.02
Film Commission : Posting Instructions,258,223,0:03:37,151,86.75,71.71,217,3.62
Mayor's Office of Housing : Police in the Community Program (PIC),258,232,0:01:45,111,78.38,50.78,105,1.75
Mayor's Office of Housing and Community Development : Inclusionary Housing Program Ordinance Amendments,258,221,0:02:46,116,61.21,47.67,166,2.77
Monthly Reports | Department of Building Inspection,258,170,0:00:34,27,29.63,7.75,34,0.57
Rule 107 Rules Related to the Employee Relations Ordinance | Civil Service Commission,258,229,0:01:26,10,90,20.16,86,1.43
San Francisco Department of Emergency Management : Operations-Based,258,244,0:00:05,19,94.74,11.63,5,0.08
"San Francisco Port Department : Tetra Tech, Inc. Phase I Environmental Site Assessment - Volume I of II",258,97,0:00:28,33,0,14.73,28,0.47
Search | Department of Elections,258,221,0:01:04,2,0,14.34,64,1.07
SME_Declaration_1.30.15.pdf | Treasurer & Tax Collector,258,160,0:02:08,17,37.5,21.32,128,2.13
Board of Supervisors : 2012,257,146,0:00:40,22,50,10.89,40,0.67
City and County of San Francisco : Results Summary Nov 2004,257,190,0:01:56,38,89.47,28.79,116,1.93
Mayor's Office of Housing and Community Development : Community Development Funding Opportunities,257,213,0:00:25,39,84.62,29.57,25,0.42
Project Manager - HPSY-Candlestick Point - External -November 2015.pdf | Office of Community Investment and Infrastructure,257,175,0:02:13,8,12.5,37.74,133,2.22
Public Notices & Meetings | Entertainment Commission,257,109,0:00:43,4,25,1.95,43,0.72
San Francisco Department of Emergency Management : Public Access Defibrillation,257,146,0:01:13,58,62.07,32.68,73,1.22
San Francisco Port Department : Construction Bids and Contracts Projection Jan 2012 – Jun 2012,257,97,0:00:26,76,3.95,12.45,26,0.43
San Francisco Port Department : Port Events : Aurora Princess (cruise ship),257,119,0:00:20,13,15.38,21.01,20,0.33
Add file | Department of Building Inspection,256,177,0:02:02,20,5,5.08,122,2.03
City and County of San Francisco : Chapter 38 Landlord Notification Requirements,256,197,0:01:58,58,68.97,37.11,118,1.97
Fees - Miscellaneous | Office of the County Clerk,256,214,0:02:27,13,66.67,40.23,147,2.45
Massage Establishment Permits | Department of Building Inspection,256,184,0:04:05,95,69.79,48.83,245,4.08
Mayor's Office of Housing : New BMR Rental Units: 8 Tenth Street (NEMA),256,216,0:03:07,211,69.67,67.58,187,3.12
San Francisco District Attorney : Man Found Guilty After Intentionally Running Over a Firefighter,256,212,0:01:22,147,77.55,62.11,82,1.37
San Francisco Police Department : Department News and Updates : SFPD Request Assistance in Lower Nob Hill Sexual Assault Investigation,256,248,0:01:34,201,89.55,76.17,94,1.57
San Francisco Police Department : Missing Person: James Nicholas Gray,256,245,0:00:43,42,97.62,27.34,43,0.72
"San Francisco Port Department : October 28, 2014",256,117,0:00:53,28,7.14,20.31,53,0.88
San Francisco Port Department : Thank You,256,120,0:00:18,116,21.55,40.23,18,0.3
Topic No. 156: Evictions Based On Addition of Family Members to Unit | Rent Board,256,235,0:01:50,11,72.73,19.92,110,1.83
Mayor's Office of Housing and Community Development : Housing Rehabilitation & Lead Remediation,255,220,0:01:12,82,76.83,35.69,72,1.2
San Francisco Department of Emergency Management : Seminar,255,217,0:00:12,10,90,8.24,12,0.2
San Francisco Police Department : Crime Bulletins: 2007,255,201,0:00:26,47,97.87,25.49,26,0.43
San Francisco Police Department : Department News and Updates : Lombard and Pierce Incident,255,238,0:02:35,179,86.59,69.8,155,2.58
San Francisco Police Department : S.T.O.P. Program,255,236,0:01:52,142,80.28,60,112,1.87
San Francisco Port Department : Extralegal Truck Permit,255,106,0:00:47,41,14.63,17.25,47,0.78
Bank On San Francisco | Treasurer & Tax Collector,254,190,0:01:07,20,28.57,20.08,67,1.12
Board of Supervisors : Balboa Park Station Community Advisory Committee,254,190,0:01:48,123,69.11,50.79,108,1.8
"City and County of San Francisco : February 01, 2012",254,48,0:03:20,25,44,11.02,200,3.33
"Department of Children, Youth and Their Families : Training & Capacity Building",254,207,0:01:50,137,68.12,54.33,110,1.83
Mayor's Office of Housing : Estimated Valuation for MOHCD BMR Units,254,229,0:01:36,130,81.54,50.79,96,1.6
Mayor's Office of Housing and Community Development : New BMR Units: 415 De Haro Street (Onyx),254,216,0:01:22,53,86.79,29.92,82,1.37
Meeting Information | Southeast Community Facility Commission,254,202,0:00:42,3,33.33,18.9,42,0.7
San Francisco Department of Human Resources : JobAps Department Super Users,254,220,0:01:12,42,66.67,21.65,72,1.2
San Francisco District Attorney : #1in4 – Break the Silence and End Sex Assault on College Campuses,254,106,0:02:38,86,69.77,37.4,158,2.63
San Francisco Police Department : Department News and Updates : SFPD Arrest Suspect in Vandalism at French American International School,254,232,0:03:10,198,89.9,81.5,190,3.17
San Francisco Police Department : Department News and Updates : SFPD Make Arrest in Hit and Run Homicide,254,220,0:01:40,133,75.94,50.79,100,1.67
San Francisco Police Department : Department News and Updates : SFPD Park Station Safer Cycling Public Safety Campaign,254,229,0:02:04,196,83.16,76.77,124,2.07
San Francisco Police Department : Q2 E125 List Information,254,214,0:02:48,171,71.93,59.06,168,2.8
San Francisco Public Works : Supervisors Vote to Extend and Expand Public Toilet Project,254,145,0:00:51,86,39.53,40.94,51,0.85
City and County of San Francisco : 2012 SF Supervisoral District Lines,253,162,0:01:15,80,76.25,43.87,75,1.25
City and County of San Francisco : Rules and Regulations,253,203,0:00:47,13,61.54,15.81,47,0.78
Mayor's Office of Housing : For Sale (Limited Equity Program),253,202,0:00:24,39,69.23,14.62,24,0.4
Office of the Mayor : News Releases : Mayor Lee & Supervisors Announce $690 Million in Funding for Public Education & Programs to Support City’s Children & Families,253,211,0:03:27,121,80.99,58.5,207,3.45
Office of the Mayor : News Releases : Mayor Lee Announces $8.2 Million Federal Grant for Fire Department Hiring,253,220,0:02:07,139,64.03,53.75,127,2.12
San Francisco Public Works : Franklin Street Infrastructure Improvements Under Way,253,147,0:00:33,135,29.63,45.85,33,0.55
SFERS : Tax Reporting,253,223,0:00:54,78,94.87,49.41,54,0.9
2015 | Juvenile Probation Department,252,125,0:00:57,12,8.33,9.13,57,0.95
Annual Reports | Adult Probation Department,252,202,0:01:43,46,78.26,39.29,103,1.72
"Board of Appeals - January 14, 2015 - Meeting Agenda | Board of Appeals",252,138,0:00:58,10,80,29.37,58,0.97
Board of Supervisors : Police Commission,252,190,0:00:42,17,47.06,14.29,42,0.7
Board of Supervisors : Resolutions 2000,252,168,0:01:30,49,67.35,27.78,90,1.5
City and County of San Francisco : San Francisco Kiva Zip Loan Program,252,231,0:01:23,74,72.97,37.7,83,1.38
City and County of San Francisco : Voluntary Arts Contribution Fund,252,113,0:00:36,24,66.67,13.89,36,0.6
"Department of Children, Youth and Their Families : Where to Look for Jobs",252,154,0:01:17,46,73.91,37.3,77,1.28
Deputy Chief of Administration - Raymond Guzman | Fire Department,252,223,0:00:37,19,63.16,14.68,37,0.62
Film Commission : Mark Fishkin,252,230,0:00:59,136,88.97,55.16,59,0.98
Office of Economic and Workforce Development : Schlage Lock Master Plan,252,232,0:02:17,113,87.61,54.76,137,2.28
"San Francisco Ethics Commission: Agenda - June 29, 2015",252,167,0:02:52,27,74.07,43.65,172,2.87
San Francisco Public Works : San Francisco City Hall Seismic Upgrade,252,125,0:00:28,116,18.97,45.24,28,0.47
Welcome from the Executive Director | Southeast Community Facility Commission,252,192,0:00:51,50,58,28.97,51,0.85
Division of Homeland Security | Fire Department,251,178,0:00:22,15,46.67,7.17,22,0.37
Mayor's Office of Housing and Community Development : Transition Age Youth Housing,251,208,0:03:48,196,79.59,74.9,228,3.8
Office of Economic and Workforce Development : Moscone Center Expansion Project,251,229,0:02:21,150,88.67,63.75,141,2.35
Office of the Mayor : News Releases : Mayor Lee Launches Large Vehicle Training Program to Increase Street Safety,251,233,0:03:06,174,93.1,79.68,186,3.1
"San Francisco Ethics Commission: Agenda - February 23, 2015",251,170,0:03:14,54,79.63,46.61,194,3.23
San Francisco Public Works : Maintenance Schedules and Standards,251,130,0:00:41,72,6.94,26.29,41,0.68
San Francisco Sheriff's Department | Welcome,251,213,0:03:11,120,45,55.38,191,3.18
"August 19, 2009 | Department of Building Inspection",250,238,0:01:04,9,55.56,17.6,64,1.07
Candidates & Campaigns Archive | Department of Elections,250,81,0:00:35,10,10,2,35,0.58
City and County of San Francisco : Forms - Professional Photocopier,250,189,0:00:37,3,66.67,17.2,37,0.62
Film Commission : Have you received a film notice?,250,230,0:00:46,40,97.5,37.2,46,0.77
Mayor's Office of Housing : Homeowner Resources,250,177,0:01:41,84,63.1,38.8,101,1.68
News | Department of Elections,250,131,0:00:38,6,33.33,5.2,38,0.63
Office of the Mayor : Mayor Lee Announces First of Its Kind Partnership With the Code for America to Bring Greater Innovation to San Francisco Government,250,212,0:01:17,174,74.14,62.4,77,1.28
"Post 9/11 Surveillance and Profiling of Arab, African, Middle Eastern, Muslim and South Asians (AAMEMSA) Communities | Human Rights Commission",250,220,0:03:12,123,81.45,56,192,3.2
Public Notices & Meetings | Office of the City Administrator,250,175,0:00:16,4,50,5.6,16,0.27
RFP for Electronic Monitoring | Juvenile Probation Department,250,200,0:01:19,109,78.9,50,79,1.32
"San Francisco Ethics Commission: Expenditure Ceilings - November 3, 2015 Election",250,205,0:02:23,61,50.82,31.2,143,2.38
San Francisco Ethics Commission: News,250,190,0:00:35,6,66.67,13.6,35,0.58
San Francisco Port Department : Port Events : Ruby Princess (cruise ship),250,136,0:00:20,36,16.67,24.4,20,0.33
SFERS : Work After Retirement,250,227,0:00:38,111,84.68,42.8,38,0.63
Fact Sheet 10 - Water Revenue Bond Passthroughs | Rent Board,249,198,0:02:44,89,68.54,38.96,164,2.73
For Your Information - Page Not Found | San Francisco,249,213,0:01:18,88,44.32,39.36,78,1.3
Office of the Mayor : May 2015,249,171,0:00:59,18,83.33,18.07,59,0.98
Office of the Mayor : News Releases : Mayor Lee Announces Increased Funding To Strengthen San Francisco’s Immigrant Community,249,220,0:04:18,159,86.79,73.9,258,4.3
Public Notices & Meetings | Animal Care & Control,249,165,0:00:19,3,66.67,10.44,19,0.32
San Francisco Police Department : Department News and Updates : SFPD Make Arrest in Arson Case,249,237,0:00:50,178,85.39,69.88,50,0.83
San Francisco Police Department : Missing Person: Keisuke Koizumi,249,242,0:00:38,43,93.02,24.1,38,0.63
San Francisco Police Department : Officer Isaac Espinoza,249,232,0:02:22,197,85.79,75.5,142,2.37
"San Francisco Rent Board : 60-Day Eviction Notice Law Expires on December 31, 2005",249,197,0:02:42,126,60.32,51.41,162,2.7
San Francisco Rent Board : New Ordinance Amendment Re Increased Ellis Relocation Payments to Tenants,249,224,0:02:26,93,61.29,37.35,146,2.43
Mayor's Office of Housing : News,248,177,0:01:01,88,81.82,42.34,61,1.02
Mayor's Office of Housing : RMCC Program,248,220,0:02:01,109,84.4,58.87,121,2.02
Office of Economic and Workforce Development : Nonprofits,248,178,0:02:07,113,77.88,58.47,127,2.12
Rule 417 Probationary Period | Civil Service Commission,248,204,0:03:25,66,75.76,58.87,205,3.42
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors and Managers - MTA Program,248,185,0:04:05,165,72.73,65.32,245,4.08
San Francisco Public Works : San Francisco Signature Tree Planting to Honor Iconic Twin Marian Brown,248,120,0:00:28,73,19.18,31.45,28,0.47
SFERS : Direct Deposit,248,205,0:00:30,89,94.38,42.74,30,0.5
"Building Inspection Commission - January 21, 2015 - Meeting Minutes | Department of Building Inspection",247,223,0:01:25,13,69.23,22.67,85,1.42
City and County of San Francisco : 2011,247,171,0:00:15,23,43.48,7.29,15,0.25
City and County of San Francisco : Dog Walker Sec. 3906 Training.,247,185,0:03:13,87,62.07,44.13,193,3.22
City and County of San Francisco : Market Rules - Flea Market,247,210,0:01:58,12,75,42.11,118,1.97
For Your Information - Page Not Found | San Francisco Arts Commission,247,196,0:00:43,46,45.65,15.79,43,0.72
San Francisco Public Works : Celebration to Mark Completion of New Taraval Streetscape,247,132,0:00:20,102,24.51,41.7,20,0.33
Board of Supervisors : Immigrant Rights Commission,246,180,0:01:34,67,64.18,37.4,94,1.57
City and County of San Francisco : City Hall Historic & Preservation Fund,246,81,0:01:07,2,50,3.25,67,1.12
City and County of San Francisco : Frequently Asked Questions (FAQs),246,178,0:01:11,44,77.27,29.67,71,1.18
San Francisco 311 : About data.sfgov.org,246,215,0:01:43,206,83.98,80.08,103,1.72
San Francisco Ethics Commission: Records Management Policy,246,228,0:02:43,141,89.36,69.51,163,2.72
San Francisco Law Library : Saving the Law Library,246,217,0:01:35,44,84.09,30.08,95,1.58
San Francisco Police Department : SFPD Statement Regarding Mental Health Detention Recorded on Cell Phone Video,246,229,0:02:42,219,90.87,88.21,162,2.7
San Francisco Port Department : Port News : Latest News on Sinbad's Restaurant - Pier 2,246,122,0:01:27,48,25,27.64,87,1.45
San Francisco Public Works : Marina Bay Trail Planning,246,116,0:00:14,43,9.3,22.36,14,0.23
"San Francisco Public Works : New ""Night Market"" to Light Up United Nations Plaza",246,152,0:00:14,146,47.26,57.72,14,0.23
San Francisco Rent Board : Section 37.6 Powers and Duties,246,223,0:01:03,14,71.43,15.85,63,1.05
Board of Supervisors : Mayoral Appointee 6 Commissioner Profile,245,214,0:00:36,5,40,10.2,36,0.6
City and County of San Francisco : Newsroom : Updated Preliminary Results for the November 3 Election Will Be Released Today at 4 p.m.,245,220,0:02:59,191,75.39,71.02,179,2.98
Mayor's Office of Housing and Community Development : Lead Hazard Remediation,245,216,0:02:47,200,85,79.59,167,2.78
San Francisco : Third Street Light Rail Project,245,204,0:01:24,204,83.33,82.86,84,1.4
"San Francisco Ethics Commission: Campaign Finance - Public Funds Disbursements - November 3, 2015 Election",245,192,0:01:48,14,50,24.49,108,1.8
San Francisco Fire Department : 4.24 FDC Requirements for Low-Rise Buildings,245,239,0:02:21,220,91.82,86.12,141,2.35
San Francisco Port Department : Port Events : Coral Princess (cruise ship),245,116,0:00:30,13,30.77,14.69,30,0.5
Advocating for policies to reduce asthma's impact: Strategic Plan and Reports | Asthma Task Force,244,183,0:01:49,15,26.67,30.33,109,1.82
Board of Supervisors : Equal Pay Advisory Board,244,193,0:01:22,111,65.77,44.26,82,1.37
Board of Supervisors : Upcoming Events,244,174,0:01:10,27,81.48,28.28,70,1.17
City and County of San Francisco : Motions & Resolutions,244,129,0:00:55,59,66.1,29.92,55,0.92
Fees - Fictitious Business Names (FBN) | Office of the County Clerk,244,216,0:01:26,5,80,27.87,86,1.43
Mayor's Office of Housing and Community Development : Certificate of Preference Displacement Addresses,244,221,0:03:32,74,86.49,53.28,212,3.53
Office of Economic and Workforce Development : Castro/Upper Market,244,189,0:01:46,52,84.62,33.2,106,1.77
Office of Economic and Workforce Development : Wholesale Produce Market Expansion,244,197,0:01:35,111,88.29,52.05,95,1.58
Office of the Mayor : News Releases : Mayor Lee Unveils Violence Prevention Service Center in Sunnydale Hope SF Public Housing,244,204,0:02:50,187,78.07,68.44,170,2.83
Recreation and Park Department | Welcome,244,214,0:04:30,46,18.87,63.52,270,4.5
San Francisco Port Department : Fill Becomes a Marshland | Pylon at Heron's Head Park,244,69,0:00:10,14,0,6.15,10,0.17
San Francisco Port Department : The Waterfront Planning Process,244,114,0:00:25,28,7.14,15.98,25,0.42
San Francisco Public Works : News Rack Advisory Committee,244,120,0:00:21,87,12.64,38.93,21,0.35
SFERS : Associated Links,244,208,0:01:23,60,96.67,39.34,83,1.38
Board of Supervisors : Workshops,243,200,0:01:51,88,64.77,36.63,111,1.85
City and County of San Francisco : Mobile Footer,243,11,0:00:39,5,80,2.06,39,0.65
Commission Reports | Civil Service Commission,243,151,0:02:06,6,33.33,17.28,126,2.1
GOVERNING LAWS | Human Rights Commission,243,195,0:02:36,20,66.67,49.38,156,2.6
Non Paid in Full Notification: 2016 Registration | Treasurer & Tax Collector,243,200,0:03:06,29,48.28,23.46,186,3.1
San Francisco Police Department : Crime Bulletins: Homicide Victims-2001,243,193,0:00:30,41,70.73,20.16,30,0.5
San Francisco Port Department : Stormwater Design Guidelines,243,91,0:00:40,48,2.08,21.4,40,0.67
Photo Gallery | City Hall,242,151,0:00:19,9,33.33,12.81,19,0.32
San Francisco 311 : Courts - Instructions for Joint Summary Dissolution - 107020,242,137,0:03:03,122,61.48,52.07,183,3.05
San Francisco Public Works : Permits - Test,242,104,0:00:22,99,8.08,42.15,22,0.37
"San Francisco Public Works : Public Works Week 2015: Open Houses, Project Tours",242,125,0:00:22,90,11.11,37.6,22,0.37
San Francisco Public Works : SMF Notices of Intent,242,87,0:00:57,59,6.78,27.69,57,0.95
Section 37.9B Tenant Rights In Evictions Under Section 37.9(a)(8) | Rent Board,242,213,0:02:35,39,56.41,28.51,155,2.58
User account | Adult Probation Department,242,138,0:01:34,54,9.26,6.61,94,1.57
Board of Supervisors : District 5 Commissioner Profile,241,196,0:00:41,15,66.67,12.45,41,0.68
San Francisco Fire Department : Home Fire Facts,241,233,0:04:51,231,89.61,89.63,291,4.85
San Francisco Law Library : Law Practice Management Collection,241,197,0:00:46,77,77.92,34.02,46,0.77
San Francisco Port Department : 2010,241,55,0:00:06,11,0,4.56,6,0.1
San Francisco Port Department : Pier 70 Area - Environmental Reports,241,80,0:00:28,34,0,10.37,28,0.47
San Francisco Rent Board : Rules and Regulations §12.20 Effective 2/1/12,241,218,0:05:30,154,66.23,58.51,330,5.5
San Francisco Rent Board : Topic No. 305: Interest on Capital Improvement Costs,241,206,0:00:51,27,85.19,14.94,51,0.85
Topic No. 206: Temporary Eviction for Capital Improvements | Rent Board,241,201,0:03:09,62,71.43,39,189,3.15
City and County of San Francisco : SBC Recognition Program for City Employees Awardees,240,212,0:01:48,162,82.1,64.58,108,1.8
City and County of San Francisco : Steering Committee Information,240,217,0:01:09,135,97.04,64.17,69,1.15
Co.lumb,240,121,0:11:54,118,50,48.75,714,11.9
"Department of Children, Youth and Their Families : OAC Members",240,129,0:01:33,54,35.19,24.58,93,1.55
"Full Commission - September 15, 2015 - Meeting Agenda | San Francisco Arts Commission",240,206,0:03:16,81,81.48,60.42,196,3.27
New Ordinance Amendment Regulating Buyout Agreements | Rent Board,240,212,0:03:59,105,68.57,50,239,3.98
Office of the Mayor : News Releases : Mayor Lee Launches Youth Jobs + Initiative to Create Jobs for San Francisco Youth This Summer & Year Round,240,207,0:04:12,138,77.54,63.75,252,4.2
San Francisco Public Works : Bill Graham Civic Auditorium,240,123,0:00:12,114,24.56,45.42,12,0.2
SFERS : News : Announcing 2015 SFERS Pre-Retirement Seminar Schedule,240,222,0:02:33,86,90.7,54.17,153,2.55
Topic No. 301: Landlord Petitions and Passthroughs - Overview | Rent Board,240,217,0:01:18,9,88.89,15.83,78,1.3
Welcome,240,154,0:03:01,79,40.51,28.33,181,3.02
City and County of San Francisco : Haiti Relief - Employee Voluntary Donation Program,239,239,0:00:02,2,100,5.02,2,0.03
"Committee on Information Technology : December 17, 2015",239,194,0:02:23,122,90.98,66.11,143,2.38
Fire Commissioners | Fire Department,239,183,0:00:23,47,34.04,16.74,23,0.38
For Your Information - Page Not Found | Department on the Status of Women,239,187,0:01:01,83,45.12,25.94,61,1.02
Mayor's Office of Housing : MOHCD Capital Projects Manual and Forms and Environmental Reviews,239,194,0:02:40,55,87.27,45.19,160,2.67
Office of the Mayor : News Releases : Mayor Lee’s Statement on Passing of Helen Diller,239,223,0:02:07,177,83.62,72.38,127,2.12
Publication Requirements | Office of the County Clerk,239,189,0:01:11,25,36,27.62,71,1.18
San Francisco Police Department : Compstat Reports 2013,239,212,0:01:59,48,100,42.68,119,1.98
San Francisco Police Department : Department News and Updates : Last Night's Recap for Human Remains Found and 4 Alarm Fire in the Mission District,239,225,0:01:31,143,83.92,63.6,91,1.52
"San Francisco Police Department : Information: E-7U9, 9209 Community Police Services Aide list",239,161,0:01:13,119,49.58,36.82,73,1.22
Service Fee Schedule | Southeast Community Facility Commission,239,185,0:01:42,22,72.73,35.15,102,1.7
Topic No. 402: Mediation | Rent Board,239,195,0:00:53,18,50,16.74,53,0.88
City and County of San Francisco : Finally! Free! Fares!,238,173,0:01:39,107,71.03,54.62,99,1.65
City and County of San Francisco : Resources for Commercial Dog Walker,238,123,0:01:04,12,25,18.07,64,1.07
"February 02, 2010 (Special) | Department of Building Inspection",238,217,0:00:44,6,33.33,18.49,44,0.73
Film Commission : Jon Rubin,238,231,0:00:37,167,98.8,73.95,37,0.62
Mayor's Office of Housing : Inclusionary BMR Ownership Program Developer/Agent Requirements,238,176,0:01:03,77,37.66,26.89,63,1.05
Office of the Mayor : News Releases : Mayor Lee Announces Start of Construction For HOPESF Rebuild Of Alice Griffith Phases One & Two,238,210,0:02:09,158,81.01,66.39,129,2.15
Office of the Mayor : News Releases : Mayor Lee’s Statement on $310 Million Affordable Housing Bond Ballot Measure,238,220,0:02:20,115,86.96,62.61,140,2.33
San Francisco Police Department : Department News and Updates : Brazen Child Abduction Suspect Taken Into Custody,238,213,0:01:58,181,93.37,77.31,118,1.97
San Francisco Police Department : Department News and Updates : SFPD Statement Regarding Acts of Terror in France,238,219,0:01:28,179,72.63,67.65,88,1.47
SFGov : Awards,238,220,0:00:38,69,94.2,38.66,38,0.63
City and County of San Francisco : Preferred Vendor List - Old,237,201,0:01:03,129,51.16,43.46,63,1.05
City and County of San Francisco : 我們可以協助您!,237,153,0:00:57,43,55.81,29.96,57,0.95
San Francisco Department of Human Resources : 24-PLUS Enhanced for Supervisors - May 2015 (2nd cohort),237,179,0:06:37,152,78.95,68.35,397,6.62
San Francisco Port Department : Port Events : Northeast Waterfront Advisory Group Meeting,237,118,0:00:38,22,22.73,19.83,38,0.63
Calendar | Smart Money Network,236,176,0:00:30,22,40.91,22.03,30,0.5
City and County of San Francisco : Mayor's Fund for the Homeless,236,120,0:00:51,17,70.59,20.34,51,0.85
Office of the Mayor : Monthly Meetings,236,188,0:00:58,32,65.62,25,58,0.97
Real Estate Division,236,166,0:01:48,87,44.83,28.81,108,1.8
San Francisco Ethics Commission: Documents relating to official misconduct charges against Sheriff Ross Mirkarimi,236,123,0:02:21,99,65.66,41.95,141,2.35
"San Francisco Police Department : April 15, 2015",236,218,0:01:43,86,79.07,48.73,103,1.72
San Francisco Port Department : 2774R Project Manual,236,107,0:00:39,97,2.06,40.68,39,0.65
San Francisco Port Department : Port Events : Norwegian Pearl (cruise ship),236,116,0:00:38,19,47.37,26.27,38,0.63
City and County of San Francisco : Audrey Joseph,235,199,0:01:44,84,71.43,40,104,1.73
City and County of San Francisco : Seasonal Recipes,235,209,0:00:29,15,53.33,42.98,29,0.48
Committee on Information Technology : COIT Charter,235,233,0:00:25,35,82.86,14.04,25,0.42
Family Friendly Workplace Ordinance (FFWO) | Office of Labor Standards Enforcement,235,202,0:02:25,76,65.79,39.57,145,2.42
Neighborhood Teams | Fire Department,235,185,0:01:59,58,67.8,38.72,119,1.98
San Francisco Port Department : Bustle of the City | Pylon at Ferry Building North,235,86,0:00:10,10,10,4.68,10,0.17
San Francisco Public Works : 2014 Press Release Archive,235,108,0:00:11,57,42.11,31.06,11,0.18
San Francisco Rent Board : PART 10 - TENANT PETITION FOR ARBITRATION,235,213,0:02:40,22,81.82,39.15,160,2.67
Board Structure & Jurisdiction | Board of Appeals,234,186,0:00:58,16,81.25,16.24,58,0.97
City and County of San Francisco : Meeting Schedules & Agendas,234,102,0:01:25,45,46.67,17.52,85,1.42
Home page,234,234,0:00:00,190,100,100,0,0
"Mayor's Office of Housing : BMR Resale: 3256 16th Street, Unit 3",234,199,0:00:57,38,84.21,20.94,57,0.95
Mayor's Office of Housing : Pricing and Marketing Inclusionary On-site or Off-site BMR Units,234,159,0:01:10,59,81.36,32.91,70,1.17
Permit Planning,234,191,0:03:01,106,83.96,55.13,181,3.02
San Francisco Ethics Commission: Campaign Finance - Non-Responsive Filers,234,212,0:02:49,38,71.05,30.77,169,2.82
San Francisco Fire Department : 4.12 Temporary Standpipes in Buildings Under Construction,234,227,0:02:49,221,96.38,94.44,169,2.82
SFERS : News : Prudential Retirement Selected as new TPA for SFDCP,234,186,0:00:52,172,53.49,54.7,52,0.87
City and County of San Francisco : Frequently Asked Questions about ballot format changes and voter services in Filipino,233,184,0:02:06,117,82.91,57.94,126,2.1
City and County of San Francisco : Investigation of 12B Violations,233,163,0:01:54,14,64.29,20.6,114,1.9
Controller : Statutes,233,213,0:02:08,123,95.12,68.67,128,2.13
"January 20, 2010 | Department of Building Inspection",233,221,0:01:11,18,55.56,16.74,71,1.18
Office of the Mayor : News Releases : Mayor Lee & Board Announce Comprehensive Package of Public Safety Reforms,233,215,0:02:52,140,75.71,65.24,172,2.87
Office of the Mayor : News Releases : Mayor Lee & Supervisor Farrell Introduce Legislation to Amend Inclusionary Housing Ordinance to Build More Affordable Housing Faster,233,219,0:02:19,154,84.42,68.24,139,2.32
Online Payment for Fire Department Services & Fees | Fire Department,233,197,0:01:25,78,43.59,36.91,85,1.42
San Francisco Department of Human Resources : Site Map,233,173,0:01:06,149,48.99,45.06,66,1.1
San Francisco Police Department : Crime Bulletins,233,144,0:00:41,125,56,44.21,41,0.68
San Francisco Port Department : Port Events : Port Commission Meeting (Closed Session),233,118,0:00:29,11,0,8.15,29,0.48
San Francisco Port Department : Waterfront Railroad | Pylon at Wharf North of Pier 30,233,89,0:00:15,24,12.5,7.73,15,0.25
San Francisco Rent Board : 主題編號252：房東進入出租單位的權利,233,209,0:01:57,20,70,11.16,117,1.95
SFGov : The Future of Public Access TV,233,179,0:02:04,167,69.46,61.8,124,2.07
Advocating to Reduce Asthma's Impact | Asthma Task Force,232,141,0:00:52,4,50,9.91,52,0.87
Apartment Building Registration | Treasurer & Tax Collector,232,151,0:00:51,98,33.67,26.29,51,0.85
Board of Supervisors : Photos,232,186,0:00:45,13,53.85,23.28,45,0.75
Board of Supervisors : Section 2.2 Modified Duty and Industrial Disability Retirement,232,208,0:05:47,200,90.5,86.21,347,5.78
Film Commission : Market Your Property,232,197,0:01:56,66,86.36,56.47,116,1.93
Parking Tax | Treasurer & Tax Collector,232,122,0:01:01,59,20,19.4,61,1.02
Rule 217 Probationary Period | Civil Service Commission,232,213,0:02:42,166,74.1,67.67,162,2.7
San Francisco Police Department : Department News and Updates : SFPD Make Arrest in PRIDE Weekend Shooting,232,223,0:02:26,175,80.57,71.12,146,2.43
